name;url;occupation;estate;lan;kommun;wikidata_id;person_id
Lorenz Lindelöf;/wiki/Lorenz_Lindel%C3%B6f;;nobility;;;;i-TeVreJTGDQcrpSivfqbBtE
Uno Lindelöf;/wiki/Uno_Lindel%C3%B6f;;nobility;;;;i-EofzZMtc7bHkYrk1DMbcJM
Hjalmar Linder;/wiki/Hjalmar_Linder;;nobility;;;;i-VjoMm7nnMwaZ8DuJw2CtUT
Torsten Leonard Lode;/wiki/Torsten_Leonard_Lode;;nobility;;;;i-95LiWSVCTALqsRCn79kA23
Carl Gustaf Emil Mannerheim;/wiki/Carl_Gustaf_Emil_Mannerheim;;nobility;;;Q152306;i-VMiu46ZbZQFSbhRZC35nUJ
Carl Robert Mannerheim;/wiki/Carl_Robert_Mannerheim;;nobility;;;Q11855015;i-9fpoHmFM6CjhEHuaVzbMqT
Adolf Constantin Mechelin;/wiki/Adolf_Constantin_Mechelin;;nobility;;;;i-Ag2dXchos5RbVTmHNpsiNd
Leo Mechelin;/wiki/Leo_Mechelin;;nobility;;;Q2668824;i-BM1QN3ZJ5FqkktH9JwVhGK
Alexander Joakim von Minkwitz;/wiki/Alexander_Joakim_von_Minkwitz;;nobility;;;;i-HjwH6PdtQ6PYxtY2MfXSKE
Carl Otto Alexander Munck;/wiki/Carl_Otto_Alexander_Munck;;nobility;;;;i-48YM2b9BJr2htyWEZfcwUL
