person_id,wiki_id,name,is_primary
,Q5742752,Frans von Frenckell,true
,Q5742752,Frans Vilhelm von Frenckell,false
,Q5742752,Frans Wilhelm von Frenckell,false
,Q5754980,Gabriel Geitlin,true
,Q5754980,Гавриил Гейтлин,false
,Q5754980,Гавриил Петрович Гейтлин,false
,Q5754980,Гейтлин Гавриил Петрович,false
,Q5768295,Axel Fredrik Granfelt,true
i-XAhPHpjCL41PGZ85XdBSmS,Q5772178,Alexis Gripenberg,true
i-XAhPHpjCL41PGZ85XdBSmS,Q5772178,Claes Alexis Konstantin Gripenberg,false
i-XAhPHpjCL41PGZ85XdBSmS,Q5772178,Claës Alexis Konstantin Gripenberg,false
i-XAhPHpjCL41PGZ85XdBSmS,Q5772178,Klas Alexis Gripenberg,false
i-XAhPHpjCL41PGZ85XdBSmS,Q5772178,Klas Alexis Konstantin Gripenberg,false
i-FJzRBuP188MmWa7nk6o4Vb,Q5772190,Carl Magnus Gripenberg,true
i-8QYakWUV2VeaBeSr6opb8f,Q5773011,Julius Grotenfelt,true
i-8QYakWUV2VeaBeSr6opb8f,Q5773011,Berndt Julius Grotenfelt,false
i-8QYakWUV2VeaBeSr6opb8f,Q5773011,چوليوس جروتينفيلت,false
i-BdcCax9AbjJYKF3SaEwTau,Q5773020,Kustavi Grotenfelt,true
i-BdcCax9AbjJYKF3SaEwTau,Q5773020,Gustaf Grotenfelt,false
i-BdcCax9AbjJYKF3SaEwTau,Q5773020,"Гротенфельт, Густав Адольфович",false
i-CA11FK6DFAdcRD28ckK5f7,Q5780994,Carl Daniel von Haartman,true
i-CA11FK6DFAdcRD28ckK5f7,Q5780994,Karl Daniel von Haartman,false
i-CA11FK6DFAdcRD28ckK5f7,Q5780994,Карл Даниэль Гартман,false
i-CA11FK6DFAdcRD28ckK5f7,Q5780994,കാൾ ഡാനിയൽ വോൺ ഹാർട്ട്മാൻ,false
i-XiSYQEjNzcBCDTizmuknEB,Q5783235,Oskar Hainari,true
i-XiSYQEjNzcBCDTizmuknEB,Q5783235,O.A. Hainari,false
i-XiSYQEjNzcBCDTizmuknEB,Q5783235,Oskar Adolf Forsström,false
i-XiSYQEjNzcBCDTizmuknEB,Q5783235,Oskar Adolf Hainari,false
i-XiSYQEjNzcBCDTizmuknEB,Q5783235,اوسكار هاينارى,false
i-7KxQWYRijD5jxcyYeme3uf,Q5784271,Mauritz Hallberg,true
i-7KxQWYRijD5jxcyYeme3uf,Q5784271,Emil Fredrik Mauritz Hallberg,false
i-7KxQWYRijD5jxcyYeme3uf,Q5784271,Мауриц Халльберг,false
i-841LACBsbRyzoAKcfc9o5p,Q5785113,Alexander Gustaf Julius Hallsten,true
i-GaVrP4AKzmi3hsgi9BrLwo,Q5792038,Kristoffer Ægidius von Hartmansdorff,true
i-GaVrP4AKzmi3hsgi9BrLwo,Q5792038,Christian Egidius,false
i-GaVrP4AKzmi3hsgi9BrLwo,Q5792038,Christoffer Egidius von Hartmansdorff,false
i-GaVrP4AKzmi3hsgi9BrLwo,Q5792038,Kristoffer Aegidius von Hartmansdorff,false
i-GaVrP4AKzmi3hsgi9BrLwo,Q5792038,クリストファー・アエギディウス・ヴォン・ハルトマンスドルッフ,false
i-GaVrP4AKzmi3hsgi9BrLwo,Q5792038,克里斯托弗·阿埃吉迪乌斯·翁·哈尔特曼斯多尔夫,false
i-GaVrP4AKzmi3hsgi9BrLwo,Q5792038,크리스토페르 애기듀스 본 하르트만스도르프,false
i-N4Kj7XJKByKctvmiVZHuWm,Q5797587,Felix Heikel,true
i-N4Kj7XJKByKctvmiVZHuWm,Q5797587,Karl Felix Heikel,false
i-NBh89WjkAAKD9CCqxkG37S,Q5797598,Ivar Heikel,true
i-NBh89WjkAAKD9CCqxkG37S,Q5797598,Ivar A. Heikel,false
i-NBh89WjkAAKD9CCqxkG37S,Q5797598,Ivar August Heikel,false
i-NBh89WjkAAKD9CCqxkG37S,Q5797598,Ivar Auguste Heikel,false
i-NBh89WjkAAKD9CCqxkG37S,Q5797598,Jvar August Heikel,false
i-NBh89WjkAAKD9CCqxkG37S,Q5797598,Ивар Август Хейкель,false
i-NBh89WjkAAKD9CCqxkG37S,Q5797598,Ивар Хейкель,false
i-NBh89WjkAAKD9CCqxkG37S,Q5797598,"Хейкель, Ивар",false
i-NBh89WjkAAKD9CCqxkG37S,Q5797598,"Хейкель, Ивар Август",false
i-7ayx42GEfCQ4FXf5XqnXHe,Q5799108,Oskar von Hellens,true
i-7ayx42GEfCQ4FXf5XqnXHe,Q5799108,Oskar Johannes Freiherr von Hellens,false
i-7ayx42GEfCQ4FXf5XqnXHe,Q5799108,Oskar Johannes von Hellens,false
i-SaCnJmAftzcnG2e8XYGcL9,Q5802420,Robert Hermanson,true
i-SaCnJmAftzcnG2e8XYGcL9,Q5802420,Robert Fredrik Hermanson,false
i-SaCnJmAftzcnG2e8XYGcL9,Q5802420,Robert Fredrik Hermansson,false
i-J6zP3X9ccdcPDSdoJRRzLX,Q58072830,Aleksander Auvinen,true
i-669G58xkbnpQCsVJmoyWfs,Q58072856,Julius Immanuel Gummerus,true
i-669G58xkbnpQCsVJmoyWfs,Q58072856,J. I. Gummerus,false
i-Qwef1SgV2CKvjcNDkxWaLb,Q58072956,Arthur Rickhard Ramsay,true
i-Qwef1SgV2CKvjcNDkxWaLb,Q58072956,Arthur Richard Ramsay,false
i-Qwef1SgV2CKvjcNDkxWaLb,Q58072956,Arthur Rikhard Ramsay,false
i-Qwef1SgV2CKvjcNDkxWaLb,Q58072956,"Рамзай, Артур Густавович",false
i-Lch3o2YJ8cMMwJUB46sQcL,Q58073019,Karl Gustaf Berg,true
i-Lch3o2YJ8cMMwJUB46sQcL,Q58073019,Берг Карл Густав,false
i-Lch3o2YJ8cMMwJUB46sQcL,Q58073019,"Берг, Карл Густав",false
i-Lch3o2YJ8cMMwJUB46sQcL,Q58073019,Карл Густав Берг,false
i-5PcgiwA1qrtSSB6nygYn7e,Q58073058,Rudolf Erenius,true
i-5PcgiwA1qrtSSB6nygYn7e,Q58073058,Rudolf Immanuel Erenius,false
i-6cVKRtrRY14WZnaUYWPh2Z,Q58073128,Josef Joakim Simelius,true
i-6cVKRtrRY14WZnaUYWPh2Z,Q58073128,Jooseppi Joakim Simelius,false
i-6cVKRtrRY14WZnaUYWPh2Z,Q58073128,Jooseppi Simelius,false
i-CBdpqVDCbhmGYHAKYVJWxE,Q58073177,Henrik Piipponen,true
i-C9dmrUvwspHpLHXM6o1jJo,Q5807467,Arthur Hjelt,true
i-C9dmrUvwspHpLHXM6o1jJo,Q5807467,Arthur Ludvig Mikael Hjelt,false
i-VeJcY7HKzWYk4AsDj8GPyn,Q5813866,Anders Johan Hornborg,true
i-QVrcwFYjcxwn93KdWmPBk3,Q5889518,Johan Viktor Johnsson,true
i-QVrcwFYjcxwn93KdWmPBk3,Q5889518,Janne Johnsson,false
i-QVrcwFYjcxwn93KdWmPBk3,Q5889518,Johan Viktor,false
i-VhermKHM28DnXffrtUcaPR,Q5893891,Albert Ludvig Lindsay von Julin,true
i-VhermKHM28DnXffrtUcaPR,Q5893891,Albert von Julin,false
i-34gigkRr2uXshwGmQ4qktb,Q5908691,Alfred Kihlman,true
i-34gigkRr2uXshwGmQ4qktb,Q5908691,الفريد كيهلمان,false
i-Uph3GH5rF8JZ5oRFmsKPyJ,Q5918829,Walter von Konow,true
i-Uph3GH5rF8JZ5oRFmsKPyJ,Q5918829,Walter Emil Berndt von Konow,false
i-66ymQwCreeuuTbu7QJYwGA,Q5923749,Lars Thiodolf Krogius,true
i-66ymQwCreeuuTbu7QJYwGA,Q5923749,Lars Krogius,false
i-66ymQwCreeuuTbu7QJYwGA,Q5923749,Lars Krogius d.ä.,false
i-66ymQwCreeuuTbu7QJYwGA,Q5923749,Ларс Крогиус,false
i-VHc9ZxmKrE7rcDAopm7C9X,Q5923756,Lars Karl Krogius,true
i-VHc9ZxmKrE7rcDAopm7C9X,Q5923756,Lars Krogius,false
i-VHc9ZxmKrE7rcDAopm7C9X,Q5923756,Lars Krogius d.y.,false
i-VHc9ZxmKrE7rcDAopm7C9X,Q5923756,Ларс Крогиус,false
i-TqHLa2ybuznPCSfNH3SkF7,Q5930256,Gustaf Wilhelm Ladau,true
i-KqWScvn4zdPpH9UqTYKQ8U,Q5931795,Ernst Lagus,true
i-KqWScvn4zdPpH9UqTYKQ8U,Q5931795,Ernst Vilhelm Lagus,false
i-H2tWZRuEZ8bzGbjzhmGuxp,Q5931804,Wilhelm Lagus,true
i-H2tWZRuEZ8bzGbjzhmGuxp,Q5931804,Jakob Johan Wilhelm Lagus,false
i-H2tWZRuEZ8bzGbjzhmGuxp,Q5931804,Вильгельм Лагус,false
i-H2tWZRuEZ8bzGbjzhmGuxp,Q5931804,"Лагус, Вильгельм",false
i-H2tWZRuEZ8bzGbjzhmGuxp,Q5931804,Яков Иоган Вильгельм Лагус,false
i-H2tWZRuEZ8bzGbjzhmGuxp,Q5931804,ویلهلم لاگوس,false
,Q5934833,Gustaf Adolf Langenskiöld,true
,Q5934833,Gustaf Langenskiöld,false
,Q5934839,Karl Langenskiöld,true
,Q5934839,Bror Carl Johan Langenskiöld,false
,Q5934839,Bror Karl Johan Langenskiöld,false
,Q5934839,Langenskiöld i Stockholm,false
,Q5934839,كارل لانجينسكيولد,false
i-VPkGALknWhkvyLEqpQP32A,Q5941175,Magnus Lavonius,true
i-VPkGALknWhkvyLEqpQP32A,Q5941175,Magnus Karl Lavonius,false
i-EofzZMtc7bHkYrk1DMbcJM,Q5955067,Uno Lindelöf,true
i-EofzZMtc7bHkYrk1DMbcJM,Q5955067,Uno Lindelof,false
i-EofzZMtc7bHkYrk1DMbcJM,Q5955067,Uno Lorenz Lindelöf,false
i-TTJ6BfyGcHTAc3wu7ASwci,Q5955329,Ernst Linder,true
i-TTJ6BfyGcHTAc3wu7ASwci,Q5955329,Christoffer Alexander Ernst Linder,false
i-TTJ6BfyGcHTAc3wu7ASwci,Q5955329,Ernst Linder d.ä.,false
i-VjoMm7nnMwaZ8DuJw2CtUT,Q5955385,Hjalmar Linder,true
i-VjoMm7nnMwaZ8DuJw2CtUT,Q5955385,Hjalmar Constantin Linder,false
i-VjoMm7nnMwaZ8DuJw2CtUT,Q5955385,Ялмар Линдер,false
i-95LiWSVCTALqsRCn79kA23,Q5962207,Torsten Leonard Lode,true
i-95LiWSVCTALqsRCn79kA23,Q5962207,Torsten Lode,false
i-95LiWSVCTALqsRCn79kA23,Q5962207,"Лоде, Торнтон Карлович",false
i-7yK1RckJEeJLB92G95c3Gp,Q5964066,Viktor Lounasmaa,true
i-7yK1RckJEeJLB92G95c3Gp,Q5964066,Nils Viktor Alfred Lounasmaa,false
i-7yK1RckJEeJLB92G95c3Gp,Q5964066,Nils Viktor Alfred Löfgren,false
i-7yK1RckJEeJLB92G95c3Gp,Q5964066,Viktor Löfgren,false
i-CisiTZA8jBe6U9YcQPijf8,Q59656522,Matias Putkonen,true
i-CisiTZA8jBe6U9YcQPijf8,Q59656522,Matthias Putkonen,false
i-M3vdGvw9iDEMvMQ8z7ckwG,Q5973556,Peter Malm,true
i-M3vdGvw9iDEMvMQ8z7ckwG,Q5973556,Petter Malm,false
i-NDDsvs2KPqUENDma8QUX7J,Q5973883,Anders Johan Malmgren,true
i-NDDsvs2KPqUENDma8QUX7J,Q5973883,A. J.  Malmgren,false
i-NDDsvs2KPqUENDma8QUX7J,Q5973883,A. J. Malmgren,false
i-NDDsvs2KPqUENDma8QUX7J,Q5973883,Anders J. Malmgren,false
i-NDDsvs2KPqUENDma8QUX7J,Q5973883,Malmgren,false
i-NDDsvs2KPqUENDma8QUX7J,Q5973883,Андерс Юхан Мальмгрен,false
i-NDDsvs2KPqUENDma8QUX7J,Q5973883,Андерш Юхан Малмгрен,false
i-NDDsvs2KPqUENDma8QUX7J,Q5973883,"Мальмгрен, Андерс Юхан",false
,Q5975027,Juho Mannermaa,true
,Q5975027,Juho Abraham Mannermaa,false
,Q5975027,Juho Abraham Mennander,false
,Q5975027,چوهو مانيرما,false
i-MDfAM83g7G9zW98usAVuS1,Q5979967,Guss Mattsson,true
i-MDfAM83g7G9zW98usAVuS1,Q5979967,Guss Mattson,false
i-MDfAM83g7G9zW98usAVuS1,Q5979967,Gustaf Mattsson,false
i-MDfAM83g7G9zW98usAVuS1,Q5979967,Gustaf Otto Mattsson,false
i-MDfAM83g7G9zW98usAVuS1,Q5979967,Гусс Маттссон,false
i-MDfAM83g7G9zW98usAVuS1,Q5979967,Густаф Отто Маттссон,false
i-39HLCE9yBTZGgTmRXc8MV4,Q5990895,Clas Herman Molander,true
i-39HLCE9yBTZGgTmRXc8MV4,Q5990895,Herman Molander,false
i-39HLCE9yBTZGgTmRXc8MV4,Q5990895,Клаэс-Герман Адольфович Моландер,false
i-4yJxJNJJ1BwQYoDiqLucKJ,Q5992268,Robert Montgomery,true
i-4yJxJNJJ1BwQYoDiqLucKJ,Q5992268,Robert August Montgomery,false
i-4yJxJNJJ1BwQYoDiqLucKJ,Q5992268,Роберт Монтгомери,false
i-5TSspidDoU2K2pXp226J2p,Q6005343,Frithiof Neovius,true
i-5TSspidDoU2K2pXp226J2p,Q6005343,Frithiof Alfred Neovius,false
i-5TSspidDoU2K2pXp226J2p,Q6005343,"Неовиус, Фритьоф Адольфович",false
